id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
50877729,"240 State St Loft B Salem OR ""TIGER STATION LOFTS""",407581863,Carole,,Ward 1,44.940449,-123.041534,Entire home/apt,143,2,6,2022-02-28,1.07,15,321,6,
50919816,Beautifully Renovated Cottage-Like Hide-a-way!,258249548,Jessica,,Ward 5,44.96665,-122.99914,Entire home/apt,150,2,12,2022-03-05,1.74,2,342,12,
50933490,A very nice room in a very nice house,410941749,Manasse,,Ward 8,44.98082,-123.08693,Private room,55,15,2,2021-08-28,0.23,2,365,2,
50996786,•Full size W/D•Smart TV•Full Kitchen•Self Check-In,391829961,Neil,,Ward 2,44.90979,-123.02938,Entire home/apt,102,30,1,2021-12-04,0.27,3,230,1,
51004299,Birchwood Glen Townhome 1390 Chemeketa St Salem OR,407581863,Carole,,Ward 1,44.938416,-123.023468,Entire home/apt,159,2,15,2022-03-20,1.97,15,296,15,
51019464,Monthly Nola’s Nirvana 2755 Nola SE Salem,407581863,Carole,,Ward 2,44.913837,-123.038841,Entire home/apt,125,30,3,2021-11-29,0.42,15,212,3,
51021341,"240 State St NE Salem Oregon""TIGER STATION LOFT A""",407581863,Carole,,Ward 1,44.94071,-123.0426,Entire home/apt,144,2,4,2022-02-20,0.60,15,321,4,
51022955,BunkHouse Retreat at Minto-Brown Island,407581863,Carole,,Ward 7,44.918655,-123.064087,Entire home/apt,80,2,20,2022-03-13,2.60,15,336,20,
51023356,Wilbur where's the beach? 1065 Wilbur St SE Salem,407581863,Carole,,Ward 2,44.924755,-123.033401,Entire home/apt,195,2,0,,,15,111,0,
51104836,Farmhouse Chic w/ 2 private rooms and bath!,45044784,Debbie,,Ward 7,44.91048,-123.06621,Private room,88,1,13,2022-03-20,1.70,3,21,13,
51268205,Beautiful 3-bedroom Salem Townhouse near I-5,124085149,Ray,,Ward 4,44.86999,-123.0196,Entire home/apt,128,2,16,2022-03-06,2.96,1,84,16,
51332824,Hidden Treasure - A Private Guest Suite,299107336,Don,,Ward 8,44.94969,-123.08761,Entire home/apt,143,2,34,2022-03-16,4.40,1,266,34,
51498765,The Vineyard House,84296528,Lillian,,Ward 7,44.90022,-123.09878,Entire home/apt,217,1,27,2022-03-21,3.55,2,107,27,
51580229,Affordable adorable 60's vibe furnished flat.,102278503,Victoria,,Ward 2,44.92718,-123.03341,Entire home/apt,68,60,0,,,3,317,0,
51773506,Great one bedroom in very nice neighborhood,419419268,Cecile,,Ward 4,44.86725,-123.04245,Private room,70,2,9,2022-01-16,1.30,2,356,9,
51783712,Marie's Place,419419268,Cecile,,Ward 4,44.86773,-123.04252,Private room,60,2,13,2022-03-12,1.88,2,359,13,
